DATA,EMPRESA,RESUMO ATIV.,DESCRIÇÃO DA ATIV.,INICIAL,FINAL,QTDE DE HORAS
12/1/2025,G3S ,Suporte Áreas,relatório Horas extras marcondes 24-25,12:00,15:40,3:40
12/1/2025,EKIPA,Centro de custo,Adequação de centro de custo da máquina phh0044(atual gbl8h44),15:40,16:15,0:35
12/1/2025,G3S 10,Fechamento,Tratamento dos dados de fechamento pré carga,16:15,18:00,1:45
12/2/2025,G3S 10,Fechamento,Tratamento dos dados de fechamento pré carga,12:00,15:00,3:00
12/2/2025,G3S 10,Suporte Áreas,"Criação arquivo ""cola"" de rateio de centro de custo estagiários para a Elaine do RH",15:00,15:20,0:20
12/2/2025,G3S 10,Fechamento,Tratamento dos dados de fechamento pré carga,15:20,18:00,2:40
12/3/2025,G3S 10,Fechamento,Tratamento dos dados de fechamento pré carga,8:00,9:00,1:00
12/3/2025,G3S 10,Sagi,"Abertura de chamado no SAGI para solução de troca do tipo de centro de custo, mas não foi resolvido, iremos acionar o Leonardo",9:00,9:47,0:47
12/3/2025,G3S 10,Fechamento,Tratamento dos dados de fechamento pré carga,9:47,11:45,1:58
12/3/2025,G3S 10,Fechamento,Tratamento dos dados de fechamento pré carga,12:45,14:00,1:15
12/3/2025,G3S 10,Suporte Áreas,Cálculo/definição dos rateios a serem feitos para cada empresa ,14:00,15:00,1:00
12/4/2025,G3S ,BCBI Seletiva,"Operação assistida do sistema de BI da seletiva, acompanhamento e checagem de erros no sistema",8:00,8:40,0:40
12/4/2025,RH,Ginastica laboral,Ginastica laboral,8:40,8:55,0:15
12/4/2025,G3S ,BCBI Seletiva,"Operação assistida do sistema de BI da seletiva, acompanhamento e checagem de erros no sistema",8:55,9:30,0:35
12/4/2025,G3S 10,Fechamento,"Criação de relatório dos erros de lançamento referentes aos meses AGOSTO, SETEMBRO e OUTUBRO, para em sequencia disparar os erros para cada gestor e assim corrigir e não gerar retrabalho.",9:30,11:15,1:45
12/4/2025,G3S 10,Suporte Áreas,"Listagem da relação de sistemas utilizados no grupo desde 2023 via ODBC, solicitado pela Cristina",11:15,12:05,0:50
12/4/2025,G3S 10,Fechamento,"Criação de relatório dos erros de lançamento referentes aos meses AGOSTO, SETEMBRO e OUTUBRO, para em sequencia disparar os erros para cada gestor e assim corrigir e não gerar retrabalho.",13:05,15:00,1:55
12/5/2025,G3S 10,Suporte Áreas,Assistência para problemas de lançamentos do novo sistema sem parar,12:00,13:56,1:56
12/5/2025,G3S 10,Fechamento,"Criação de relatório dos erros de lançamento referentes aos meses AGOSTO, SETEMBRO e OUTUBRO, para em sequencia disparar os erros para cada gestor e assim corrigir e não gerar retrabalho.",13:56,15:45,1:49
12/5/2025,G3S 10,Suporte Áreas,Assistência para problemas de lançamentos do novo sistema sem parar,15:45,17:40,1:55
12/5/2025,G3S 10,Fechamento,"Criação de relatório dos erros de lançamento referentes aos meses AGOSTO, SETEMBRO e OUTUBRO, para em sequencia disparar os erros para cada gestor e assim corrigir e não gerar retrabalho.",17:40,18:00,0:20
12/8/2025,G3S ,BCBI Seletiva,"Operação assistida do sistema de BI da seletiva, acompanhamento e checagem de erros no sistema",8:00,9:30,1:30
12/8/2025,G3S ,BCBI Seletiva,Abertura de chamado consulti para correção de erro ,9:30,9:40,0:10
12/8/2025,G3S 10,Suporte Áreas,"Definindo estrutura de rateio para lançamento de contas (BMC, AMTI, EXPERTISE, MM SOARES, SMART TAX E KONFIDO)",9:40,12:10,2:30
12/8/2025,G3S 10,Suporte Áreas,"Geração de arquivo .pdf, escrita e envio de email sobre a estrutura de rateio para as áreas",13:10,15:00,1:50
12/9/2025,G3S 10,Fechamento,Tratamento dos dados de fechamento novembro pré carga,8:00,14:00,6:00
12/10/2025,G3S 10,Fechamento,Tratamento dos dados de fechamento novembro pré carga,8:00,9:00,1:00
12/10/2025,G3S ,BCBI Seletiva,"Operação assistida do sistema de BI da seletiva, acompanhamento e checagem de erros no sistema",9:00,9:30,0:30
12/10/2025,G3S 5,Fechamento,Análise BRAÇOFER outubro.,9:30,11:30,2:00
12/10/2025,Consulti,CONSULTI,Abertura de chamado consulti para acesso ao novo portal de suporte para acompanhamento de status dos tickets abertos.,11:30,11:45,0:15
12/10/2025,G3S 10,Fechamento,Tratamento dos dados de fechamento novembro pré carga e atualização da consulta ODBC,11:45,12:15,0:30
12/10/2025,G3S 10,Fechamento,Tratamento dos dados de fechamento novembro pré carga,13:15,14:00,0:45
12/10/2025,G3S ,BCBI Seletiva,"Validação da entrega do matheus nazaro, comunicada via whatsapp, de compras e vendas de sucata em R$",14:00,15:00,1:00
12/11/2025,G3S ,BCBI Seletiva,"Validação da entrega do matheus nazaro, comunicada via whatsapp, de compras e vendas de sucata em R$",8:00,8:30,0:30
12/11/2025,RH,Ginastica laboral,Ginastica laboral,8:30,9:00,0:30
12/11/2025,G3S 10,Suporte Áreas,Definindo estrutura de rateio para lançamento da nota do Sinomar na convenção,9:00,9:20,0:20
12/11/2025,G3S 10,Fechamento,Tratamento dos dados de fechamento novembro pré carga,9:20,12:10,2:50
12/11/2025,G3S 10,Fechamento,Tratamento dos dados de fechamento novembro pré carga,13:10,15:00,1:50
12/12/2025,G3S 10,Fechamento,Tratamento dos dados de fechamento novembro pré carga,8:00,10:00,2:00
12/12/2025,G3S ,Reunião,Reunião de apresentação da plataforma payfy,10:00,11:30,1:30
12/12/2025,G3S 10,Fechamento,Tratamento dos dados de fechamento novembro pré carga,11:30,12:10,0:40
12/12/2025,G3S ,BCBI Seletiva,"Operação assistida do sistema de BI da seletiva, acompanhamento e validação das entregas do desenvolvimento.",13:10,15:00,1:50
12/15/2025,G3S ,BCBI Seletiva,"Operação assistida do sistema de BI da seletiva, acompanhamento e validação das entregas do desenvolvimento.",8:00,8:30,0:30
12/15/2025,G3S 10,Suporte Áreas,Relarório de Funcionários 2025 para Marcondes,8:30,10:45,2:15
12/15/2025,G3S ,BCBI Seletiva,"Abertura de Ticket na Consulti, referente à discrepância nos valores de compras de sucata do BI(erro de 35 ton) e referente aos valores da Análise vertical errados.",10:45,11:15,0:30
12/15/2025,G3S ,BCBI Seletiva,"Operação assistida do sistema de BI da seletiva, acompanhamento e checagem de erros no sistema",11:15,12:20,1:05
12/15/2025,G3S 10,Suporte Áreas,Relarório de Funcionários 2025 para Marcondes,13:20,16:15,2:55
12/16/2025,G3S 10,Suporte Áreas,Relarório de Funcionários 2025 para Marcondes,8:00,9:00,1:00
12/16/2025,RH,Programa de Desenvolvimento,"Programa de Desenvolvimento de Estágio - Operação, Venda e Compra de Sucata",9:00,10:30,1:30
12/16/2025,G3S 10,Suporte Áreas,Relarório de Funcionários 2025 para Marcondes,10:30,11:00,0:30
12/16/2025,G3S ,BCBI Seletiva,"Operação assistida do sistema de BI da seletiva, acompanhamento e checagem de erros no sistema",11:00,12:25,1:25
12/16/2025,G3S ,BCBI Seletiva,"Operação assistida do sistema de BI da seletiva, acompanhamento e checagem de erros no sistema",13:20,13:40,0:20
12/16/2025,G3S 10,Suporte Áreas,Geração de rateio temporário para despesa do benefício do SEM PARAR e instrução de lançamento,13:40,15:00,1:20
12/17/2025,G3S ,BCBI Seletiva,"Operação assistida do sistema de BI da seletiva, acompanhamento e checagem de erros no sistema",8:00,12:05,4:05
12/17/2025,G3S 10,Suporte Áreas,Auxílio no fechamento da FOPA,13:05,16:40,3:35
1/5/2026,G3S 10,Plano de Trabalho,"Alinhamento de planejamento, perspectivas e projetos 2026",8:00,9:30,1:30
1/5/2026,G3S 04,BCBI Seletiva,Entender processo de saída e como isso impacta no BI ,9:30,10:00,0:30
1/5/2026,G3S 10,Fechamento,Tratamento dos dados de fechamento novembro pré carga,10:00,14:20,4:20
1/6/2026,G3S 04,BCBI Seletiva,Fornecimento de relatórios Caique,8:00,9:20,1:20
1/6/2026,G3S 10,Fechamento,Tratamento dos dados de fechamento novembro pré carga,9:20,12:10,2:50
1/6/2026,G3S 10,Fechamento,Tratamento dos dados de fechamento novembro pré carga,13:10,15:00,1:50
1/7/2026,Ekipa Container,Suporte Áreas,Apoio Leticia para geração manual dos contratos de locação por mala direta.,8:00,10:00,2:00
1/7/2026,G3S,Sagi,Reunião com Leonardo para identificação e resolução do problema das devoluções das vendas,10:00,12:20,2:20
1/7/2026,Ekipa Container,Suporte Áreas,Apoio Leticia para geração manual dos contratos de locação por mala direta.,13:20,15:30,2:10
1/8/2026,G3S 04,BCBI Seletiva,"Operação assistida do sistema de BI da seletiva, acompanhamento e checagem de erros no sistema",8:00,8:30,0:30
1/8/2026,Rh,Ginástica Laboral,Ginástica Laboral,8:30,9:00,0:30
1/8/2026,G3S 04,BCBI Seletiva,"Operação assistida do sistema de BI da seletiva, acompanhamento e checagem de erros no sistema",9:00,10:30,1:30
1/8/2026,G3S 04,BCBI Seletiva,Reunião com Leonardo e Caique para identificação e resolução do problema das devoluções das vendas,10:30,11:00,0:30
1/8/2026,G3S 04,BCBI Seletiva,"Operação assistida do sistema de BI da seletiva, acompanhamento e checagem de erros no sistema",11:00,12:20,1:20
1/8/2026,G3S 04,Suporte Áreas,Suporte desenvolvimento de condicional para planilha de logistica reversa - GISELE,13:20,15:00,1:40
1/9/2026,G3S 04,Suporte Áreas,Suporte desenvolvimento de condicional para planilha de logistica reversa - GISELE,8:00,9:00,1:00
