RELATÓRIO DE ENTRADA;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;
;;;R.SOCIAL.: G3S COMERCIO E INDUSTRIA DE FERRO E ACO LTDA -  CNPJ.: 20947332/0004-38 END.: RUA HELENA FERRANTE BORGHI, 100 - DISTRITO INDUSTRIAL CIDADE.: PRESIDENTEPRUDENTE - SP TELEFONE: 1821010101 IE: 562407492115 / WWW.SELETIVA.IND.BR DATA. : 12/06/2026 HORA.: 08:45:55-IMPRESSO POR:JULIO.SANTANA;;;;;;;;;;;;;;;;;;;
;;

Período de 01/06/2026 a 12/06/2026;;;;;;;;;;;;;;;;;;;;;;;;
Filial:MATRIZ,FILIAL1,FILIAL2,FILIAL3,FILIAL4,FILIAL5,FILIAL6,FILIAL9,FILIAL10,FILIAL11,FILIAL12,FILIAL13,FILIAL14,FILIAL15,FILIAL16,FILIAL17,FILIAL18,FILIAL19,FILIAL20;;;;;;;;;;;;;;;;;;;;;;;;

Tipo/Categoria :;;;FERRO                                                                                               ;;;;;;;;;;;;;;;;;;;

;;Quantidade;;;;;;P. Médio;;;;Valor Total;;;;;

;3.217.004,000  ;;;;;;0,96004   ;;;;3.088.463,29   ;;;;;;

Totais;;3.217.004,000  ;;;;;;;;;;3.088.463,29   ;;;;;;

Total menos ICMS: 3.087.551,61   ;;;;;;;;;;;;

Total ICMS: 911,68   ;;;;;;;;;;;;

Total PIS: 0,00   ;;;;;;;;;;;;

Total COFINS: 0,00   ;;;;;;;;;;;;

Total menos PIS: 3.088.463,29   ;;;;;;;;;;;;

Total menos COFINS: 3.088.463,29   ;;;;;;;;;;;;

Total Liquido: 3.087.551,61   ;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;

Tipo/Categoria :;;;MATERIAL DE ESCOLHA                                                                                 ;;;;;;;;;;;;;;;;;;;

;;Quantidade;;;;;;P. Médio;;;;Valor Total;;;;;

;1.160,000   ;;;;;;1,12069   ;;;;1.300,00   ;;;;;;

Totais;;1.160,000   ;;;;;;;;;;1.300,00   ;;;;;;

Total menos ICMS: 1.300,00   ;;;;;;;;;;;;

Total ICMS: 0,00   ;;;;;;;;;;;;

Total PIS: 0,00   ;;;;;;;;;;;;

Total COFINS: 0,00   ;;;;;;;;;;;;

Total menos PIS: 1.300,00   ;;;;;;;;;;;;

Total menos COFINS: 1.300,00   ;;;;;;;;;;;;

Total Liquido: 1.300,00   ;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;

Tipo/Categoria :;;;PLASTICO E PAPEL                                                                                    ;;;;;;;;;;;;;;;;;;;

;;Quantidade;;;;;;P. Médio;;;;Valor Total;;;;;

;28.630,000   ;;;;;;0,08737   ;;;;2.501,40   ;;;;;;

Totais;;28.630,000   ;;;;;;;;;;2.501,40   ;;;;;;

Total menos ICMS: 2.501,40   ;;;;;;;;;;;;

Total ICMS: 0,00   ;;;;;;;;;;;;

Total PIS: 0,00   ;;;;;;;;;;;;

Total COFINS: 0,00   ;;;;;;;;;;;;

Total menos PIS: 2.501,40   ;;;;;;;;;;;;

Total menos COFINS: 2.501,40   ;;;;;;;;;;;;

Total Liquido: 2.501,40   ;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;

Tipo/Categoria :;;;MATERIAL FINO                                                                                       ;;;;;;;;;;;;;;;;;;;

;;Quantidade;;;;;;P. Médio;;;;Valor Total;;;;;

;1.140,000   ;;;;;;2,20000   ;;;;2.508,00   ;;;;;;

www.sygecom.com.br - relatorios\sagi_rel_entsai_cat_for_prod15.fr3;;;;;;;;;;;
Totais;;1.140,000   ;;;;;;;;;;2.508,00   ;;;;;;

Total menos ICMS: 2.508,00   ;;;;;;;;;;

Total ICMS: 0,00   ;;;;;;;;;;

Total PIS: 0,00   ;;;;;;;;;;

Total COFINS: 0,00   ;;;;;;;;;;

Total menos PIS: 2.508,00   ;;;;;;;;;;

Total menos COFINS: 2.508,00   ;;;;;;;;;;

Total Liquido: 2.508,00   ;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;

Tipo/Categoria :;ELETRONICO                                                                                          ;;;;;;;;;;;;;;;;;;;;

;;Quantidade;;;;;;P. Médio;;;;;Valor Total;;;;

;3.740,000   ;;;;;;0,80267   ;;;;3.002,00   ;;;;;;

Totais;;3.740,000   ;;;;;;;;;;3.002,00   ;;;;;;

Total menos ICMS: 3.002,00   ;;;;;;;;;;

Total ICMS: 0,00   ;;;;;;;;;;

Total PIS: 0,00   ;;;;;;;;;;

Total COFINS: 0,00   ;;;;;;;;;;

Total menos PIS: 3.002,00   ;;;;;;;;;;

Total menos COFINS: 3.002,00   ;;;;;;;;;;

Total Liquido: 3.002,00   ;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;

TOTAL GERAL:;;3.251.674,000  ;;;;0,95267   ;;3.097.774,69   ;;;;;

Total menos ICMS: 3.095.992,34   ;;;;;;;;;;;;;;
Total ICMS: 1.782,35   ;;;;;;;;;;;;;;
Total PIS: 39,11   ;;;;;;;;;;;;;;
Total COFINS: 180,30   ;;;;;;;;;;;;;;
Total menos PIS: 3.097.735,58   ;;;;;;;;;;;;;;
Total menos COFINS: 3.097.594,39   ;;;;;;;;;;;;;;
Total Liquido: 3.095.772,93   ;;;;;;;;;;;;;;
