RELATÓRIO DE SAIDA;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;
;;;R.SOCIAL.: G3S COMERCIO E INDUSTRIA DE FERRO E ACO LTDA -  CNPJ.: 20947332/0004-38 END.: RUA HELENA FERRANTE BORGHI, 100 - DISTRITO INDUSTRIAL CIDADE.: PRESIDENTEPRUDENTE - SP TELEFONE: 1821010101 IE: 562407492115 / WWW.SELETIVA.IND.BR DATA. : 20/05/2026 HORA.: 08:35:55-IMPRESSO POR:JULIO.SANTANA;;;;;;;;;;;;;;;;;;;
;;

Período de 01/05/2026 a 20/05/2026;;;;;;;;;;;;;;;;;;;;;;;;
Filial:MATRIZ,FILIAL1,FILIAL2,FILIAL3,FILIAL4,FILIAL5,FILIAL6,FILIAL9,FILIAL10,FILIAL11,FILIAL12,FILIAL13,FILIAL14,FILIAL15,FILIAL16,FILIAL17,FILIAL18,FILIAL19,FILIAL20;;;;;;;;;;;;;;;;;;;;;;;;

Tipo/Categoria :;;;FERRO                                                                                               ;;;;;;;;;;;;;;;;;;;

;;Quantidade;;;;;;P. Médio;;;;Valor Total;;;;;

;5.555.409,000  ;;;;;;1,61987   ;;;;8.999.066,87   ;;;;;;

Totais;;5.555.409,000  ;;;;;;;;;;8.999.066,87   ;;;;;;

Total menos ICMS: 8.989.934,97   ;;;;;;;;;;;;

Total ICMS: 9.131,90   ;;;;;;;;;;;;

Total PIS: 0,00   ;;;;;;;;;;;;

Total COFINS: 0,00   ;;;;;;;;;;;;

Total menos PIS: 8.999.066,87   ;;;;;;;;;;;;

Total menos COFINS: 8.999.066,87   ;;;;;;;;;;;;

Total Liquido: 8.989.934,97   ;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;

Tipo/Categoria :;;;MATERIAL DE ESCOLHA                                                                                 ;;;;;;;;;;;;;;;;;;;

;;Quantidade;;;;;;P. Médio;;;;Valor Total;;;;;

;29.893,500   ;;;;;;3,44270   ;;;;102.914,34   ;;;;;;

Totais;;29.893,500   ;;;;;;;;;;102.914,34   ;;;;;;

Total menos ICMS: 101.888,81   ;;;;;;;;;;;;

Total ICMS: 1.025,53   ;;;;;;;;;;;;

Total PIS: 82,61   ;;;;;;;;;;;;

Total COFINS: 380,53   ;;;;;;;;;;;;

Total menos PIS: 102.831,73   ;;;;;;;;;;;;

Total menos COFINS: 102.533,81   ;;;;;;;;;;;;

Total Liquido: 101.425,67   ;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;

Tipo/Categoria :;;;DIVERSOS                                                                                            ;;;;;;;;;;;;;;;;;;;

;;Quantidade;;;;;;P. Médio;;;;Valor Total;;;;;

;420,000   ;;;;;;3,00000   ;;;;1.260,00   ;;;;;;

Totais;;420,000   ;;;;;;;;;;1.260,00   ;;;;;;

Total menos ICMS: 1.168,20   ;;;;;;;;;;;;

Total ICMS: 91,80   ;;;;;;;;;;;;

Total PIS: 7,40   ;;;;;;;;;;;;

Total COFINS: 34,06   ;;;;;;;;;;;;

Total menos PIS: 1.252,60   ;;;;;;;;;;;;

Total menos COFINS: 1.225,94   ;;;;;;;;;;;;

Total Liquido: 1.126,74   ;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;

Tipo/Categoria :;;;PLASTICO E PAPEL                                                                                    ;;;;;;;;;;;;;;;;;;;

;;Quantidade;;;;;;P. Médio;;;;Valor Total;;;;;

;16.140,000   ;;;;;;0,37509   ;;;;6.054,00   ;;;;;;

www.sygecom.com.br - relatorios\sagi_rel_entsai_cat_for_prod15.fr3;;;;;;;;;;;
Totais;;16.140,000   ;;;;;;;;;;6.054,00   ;;;;;;

Total menos ICMS: 5.934,32   ;;;;;;;;;;

Total ICMS: 119,68   ;;;;;;;;;;

Total PIS: 9,64   ;;;;;;;;;;

Total COFINS: 44,41   ;;;;;;;;;;

Total menos PIS: 6.044,36   ;;;;;;;;;;

Total menos COFINS: 6.009,59   ;;;;;;;;;;

Total Liquido: 5.880,27   ;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;

Tipo/Categoria :;MATERIAL PROCESSADO                                                                                 ;;;;;;;;;;;;;;;;;;;;

;;Quantidade;;;;;;P. Médio;;;;;Valor Total;;;;

;379.180,000   ;;;;;;1,48568   ;;;;563.338,78   ;;;;;;

Totais;;379.180,000   ;;;;;;;;;;563.338,78   ;;;;;;

Total menos ICMS: 558.063,90   ;;;;;;;;;;

Total ICMS: 5.274,88   ;;;;;;;;;;

Total PIS: 0,00   ;;;;;;;;;;

Total COFINS: 0,00   ;;;;;;;;;;

Total menos PIS: 563.338,78   ;;;;;;;;;;

Total menos COFINS: 563.338,78   ;;;;;;;;;;

Total Liquido: 558.063,90   ;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;

TOTAL GERAL:;;5.981.042,500  ;;;;1,61722   ;;9.672.633,99   ;;;;;

Total menos ICMS: 9.349.307,57   ;;;;;;;;;;;;;;
Total ICMS: 323.326,42   ;;;;;;;;;;;;;;
Total PIS: 6.056,23   ;;;;;;;;;;;;;;
Total COFINS: 27.891,84   ;;;;;;;;;;;;;;
Total menos PIS: 9.666.577,76   ;;;;;;;;;;;;;;
Total menos COFINS: 9.644.742,15   ;;;;;;;;;;;;;;
Total Liquido: 9.315.359,50   ;;;;;;;;;;;;;;
