n4_CC;valor_nf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.1.10 PESSOAS;15.419,54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.1.3 FINANCEIRO;11.209,38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.1.4 CONTABILIDADE/FISCAL;17.189,38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.1.1 APOIO;39.243,99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.2.1 ADMINISTRATIVO;10.733,51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.2.3 OPERACIONAL;27.376,08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.3.1 ADMINISTRATIVO;6.950,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.3.3 OPERACIONAL;23.166,18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.4.1 ADMINISTRATIVO;10.763,61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.4.3 OPERACIONAL;50.884,61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.5.1 ADMINISTRATIVO;14.624,34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.5.3 OPERACIONAL;52.645,60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.7.1 ADMINISTRATIVO;5.484,54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.7.3 OPERACIONAL;21.900,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.2.8.3. OPERACIONAL;5.545,78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.3.1.1 ADMINISTRATIVO;13.162,31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.3.1.2 COMERCIAL;23.317,14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.3.1.3 OPERACIONAL;11.382,19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.3.1.4 LOGISTICA;21.567,51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.3.1.5 CORTE E DOBRA;33.842,66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.4.1.2 ADMINISTRATIVO;21.251,87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.5.1.2 COMERCIAL;5.090,48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.7.1.2.1 ARCELOR/ RESENDE/R;20.157,32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.7.1.3.1 ARCELOR/BARRA MANS;21.582,72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.7.1.4.1 ARCELOR/PIRACICABA;11.594,90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.7.3.3 OPERACIONAL;23.233,06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.7.4.4 LOGISTICA;12.313,83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.7.5.4 LOGISTICA;18.540,88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.7.6.4 LOGISTICA;10.601,29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.7.7.4 LOGISTICA;29.986,82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.7.8.1.1 TUPY - JOINVILLE/S;17.848,10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.7.8.4 LOGISTICA;22.417,19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.7.8.3 OPERACIONAL;13.454,28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.7.1.3.1 ARCELOR - BARRA MANS;5.793,01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
