id;filial;titulo;conta;valor_nf;Valor Oficial;observacao;credor_forn_cli_func;Dados auxiliares;data_nf;data_pagamento;Sistema;Origem
2782;G3S MARINGA;CTE-117;TRANSPORTE DE SUCATA;6923.4;-6923.4; -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-07;2026-01-15 00:00:00;SAGI;Saídas (Aplicações)
480;G3S MARINGA;CTE-118;LOCACAO DE CONTEINER E CACAMBAS;6010.4;-6010.4; -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-07;2026-01-09 00:00:00;SAGI;Saídas (Aplicações)
481;G3S MARINGA;CTE-119;TRANSPORTE DE SUCATA;6311.8;-6311.8; -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-07;2026-01-09 00:00:00;SAGI;Saídas (Aplicações)
482;G3S MARINGA;CTE-120;TRANSPORTE DE SUCATA;6164.4;-6164.4; -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-07;2026-01-09 00:00:00;SAGI;Saídas (Aplicações)
1922;G3S PRUDENTE;CTE-703;TRANSPORTE DE SUCATA;600.0;-600; REF CTE 703 -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-07;2026-01-15 00:00:00;SAGI;Saídas (Aplicações)
2781;G3S MARINGA;CTE-121;LOCACAO DE CONTEINER E CACAMBAS;8127.0;-8127; -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-08;2026-01-09 00:00:00;SAGI;Saídas (Aplicações)
483;G3S MARINGA;CTE-122;TRANSPORTE DE SUCATA;8739.0;-8739; -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-08;2026-01-09 00:00:00;SAGI;Saídas (Aplicações)
541;G3S MARINGA;CTE-124;LOCACAO DE CONTEINER E CACAMBAS;7857.0;-7857; -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-08;2026-01-09 00:00:00;SAGI;Saídas (Aplicações)
1249;G3S PRUDENTE;CTE-704;TRANSPORTE DE SUCATA;8856.0;-8856; REF CTE 704 -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-08;2026-01-15 00:00:00;SAGI;Saídas (Aplicações)
3474;G3S PRUDENTE;CTE-705;TRANSPORTE DE SUCATA;13564.2;-13564.2; REF CTE 705 -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-08;2026-01-15 00:00:00;SAGI;Saídas (Aplicações)
540;G3S MARINGA;CTE-123;TRANSPORTE DE SUCATA;7443.0;-7443; -  DOCUMENTO ELETRÔNICO REFERENCIADO;GSL LOGISTICA E TRANSPORTE LTDA;-;2026-01-09;2026-01-09 00:00:00;SAGI;Saídas (Aplicações)
