comven;data_hora;usuario;valor;numbol;parbol;lotebonus;sr_recno;quantidade;bonus;preco;total_icms;codpro;subcod;obs;filial
C;2026-01-20 14:11:31;ALESSANDRA.ADM;94.0;290892;2;6235;4806;1880;0.05;0.6;1128.0;SFC   ;S;;
V;2026-01-04 10:24:38;ALESSANDRA.MOURA;418.73;85052;2;6196;4689;33960;0.01;1.8063;61342.05;SFF   ;S;;G3S LONDRINA
V;2026-01-04 10:24:38;ALESSANDRA.MOURA;179.03;85526;2;6196;4690;14520;0.01;1.80527;26212.5;SFF   ;S;;G3S LONDRINA
V;2026-01-04 10:24:38;ALESSANDRA.MOURA;155.11;85525;2;6196;4691;12580;0.01;1.80527;22710.28;SFF   ;S;;G3S LONDRINA
V;2026-01-04 10:28:29;ALESSANDRA.MOURA;306.42;84793;2;6197;4692;41520;0.01;1.52396;63274.65;SCF   ;S;;G3S MARINGA
V;2026-01-04 10:28:29;ALESSANDRA.MOURA;49.3;85221;2;6197;4693;6680;0.01;1.79978;12022.5;SFPEB ;S;;G3S MARINGA
V;2026-01-04 10:28:29;ALESSANDRA.MOURA;187.6;85221;3;6197;4694;25420;0.01;1.81818;46218.14;SFPEM ;S;;G3S MARINGA
C;2026-01-06 16:29:12;ALESSANDRA.ADM;20.0;289695;2;6198;4695;200;0.1;0.6;120.0;SFMIU ;S;;
C;2026-01-06 16:29:12;ALESSANDRA.ADM;32.0;289695;3;6198;4696;320;0.1;0.5;160.0;SFC   ;S;;
C;2026-01-07 14:56:44;ALESSANDRA.ADM;337.5;289852;2;6199;4697;2250;0.15;0.5;1125.0;SFC   ;S;;
C;2026-01-07 17:12:09;ALESSANDRA.ADM;214.0;289724;2;6200;4698;2140;0.1;0.6;1284.0;SFMIU ;S;;
V;2026-01-09 15:53:06;ALESSANDRA.ADM;13994.08;80994;2;6201;4699;28640;0.49;1.11364;31894.55;SFPC  ;F;;G3S MARINGA
V;2026-01-09 15:53:06;ALESSANDRA.ADM;12943.54;81022;2;6201;4700;26490;0.49;1.11364;29500.23;SFPC  ;F;;G3S MARINGA
V;2026-01-09 15:56:52;ALESSANDRA.ADM;2739.49;80982;3;6202;4701;29060;0.09;1.49974;43582.34;SFPC  ;F;;G3S MARINGA
V;2026-01-09 15:58:36;ALESSANDRA.ADM;7067.83;81330;2;6203;4702;15660;0.45;1.11364;17439.55;SFPC  ;F;;G3S MARINGA
V;2026-01-09 15:58:36;ALESSANDRA.ADM;6241.89;81333;2;6203;4703;13830;0.45;1.11364;15401.59;SFPC  ;F;;G3S MARINGA
V;2026-01-09 16:00:12;ALESSANDRA.ADM;6710.0;81211;2;6204;4704;33550;0.2;1.06;35563.0;SFPC  ;F;;G3S LONDRINA
V;2026-01-09 16:00:12;ALESSANDRA.ADM;6384.0;81249;2;6204;4705;31920;0.2;1.06;33835.2;SFPC  ;F;;G3S LONDRINA
V;2026-01-09 16:05:18;ALESSANDRA.ADM;6556.0;81265;2;6205;4706;32780;0.2;1.06;34746.8;SFPC  ;F;;G3S LONDRINA
V;2026-01-09 16:05:18;ALESSANDRA.ADM;6038.0;81266;2;6205;4707;30190;0.2;1.06;32001.4;SFPC  ;F;;G3S LONDRINA
V;2026-01-09 16:05:18;ALESSANDRA.ADM;6272.0;81271;2;6205;4708;31360;0.2;1.06;33241.6;SFPC  ;F;;G3S LONDRINA
V;2026-01-09 16:05:18;ALESSANDRA.ADM;6120.0;81273;2;6205;4709;30600;0.2;1.06;32436.0;SFPC  ;F;;G3S LONDRINA
V;2026-01-09 16:05:19;ALESSANDRA.ADM;6340.0;81275;2;6205;4710;31700;0.2;1.06;33602.0;SFPC  ;F;;G3S LONDRINA
V;2026-01-09 16:09:09;ALESSANDRA.ADM;6326.0;81293;2;6206;4711;31630;0.2;1.06;33527.8;SFPC  ;F;;G3S LONDRINA
V;2026-01-09 16:09:09;ALESSANDRA.ADM;6666.0;81296;2;6206;4712;33330;0.2;1.06;35329.8;SFPC  ;F;;G3S LONDRINA
V;2026-01-09 16:09:09;ALESSANDRA.ADM;6698.0;81299;2;6206;4713;33490;0.2;1.06;35499.4;SFPC  ;F;;G3S LONDRINA
V;2026-01-09 16:09:09;ALESSANDRA.ADM;6994.0;81306;2;6206;4714;34970;0.2;1.06;37068.2;SFPC  ;F;;G3S LONDRINA
V;2026-01-09 16:09:09;ALESSANDRA.ADM;6146.0;81314;2;6206;4715;30730;0.2;1.06;32573.8;SFPC  ;F;;G3S LONDRINA
V;2026-01-09 16:09:09;ALESSANDRA.ADM;6140.0;81315;2;6206;4716;30700;0.2;1.06;32542.0;SFPC  ;F;;G3S LONDRINA
V;2026-01-09 16:14:28;ALESSANDRA.ADM;5974.0;81322;2;6207;4717;29870;0.2;1.06;31662.2;SFPC  ;F;;G3S LONDRINA
V;2026-01-09 16:14:28;ALESSANDRA.ADM;6322.0;81326;2;6207;4718;31610;0.2;1.06;33506.6;SFPC  ;F;;G3S LONDRINA
V;2026-01-09 16:14:28;ALESSANDRA.ADM;6724.0;81329;2;6207;4719;33620;0.2;1.06;35637.2;SFPC  ;F;;G3S LONDRINA
V;2026-01-09 16:14:28;ALESSANDRA.ADM;5844.0;81341;2;6207;4720;29220;0.2;1.06;30973.2;SFPC  ;F;;G3S LONDRINA
V;2026-01-09 16:14:28;ALESSANDRA.ADM;6312.0;81345;2;6207;4721;31560;0.2;1.06;33453.6;SFPC  ;F;;G3S LONDRINA
V;2026-01-09 16:14:28;ALESSANDRA.ADM;5016.0;81352;2;6207;4722;25080;0.2;1.06;26584.8;SFPC  ;F;;G3S LONDRINA
V;2026-01-09 16:21:38;ALESSANDRA.ADM;7184.0;81372;2;6208;4723;35920;0.2;1.06;38075.2;SFPC  ;F;;G3S LONDRINA
V;2026-01-09 16:21:38;ALESSANDRA.ADM;5168.0;81389;2;6208;4724;25840;0.2;1.06;27390.4;SFPC  ;F;;G3S LONDRINA
V;2026-01-09 16:21:38;ALESSANDRA.ADM;6890.0;81380;2;6208;4725;34450;0.2;1.06;36517.0;SFPC  ;F;;G3S LONDRINA
V;2026-01-09 16:21:38;ALESSANDRA.ADM;5798.0;81391;2;6208;4726;28990;0.2;1.06;30729.4;SFPC  ;F;;G3S LONDRINA
V;2026-01-09 16:23:25;ALESSANDRA.ADM;918.09;81405;2;6209;4727;32930;0.03;1.16211;38268.4;SFA   ;S;;G3S LONDRINA
V;2026-01-09 16:25:10;ALESSANDRA.ADM;3269.0;81404;2;6210;4728;16345;0.2;1.06;17325.65;SFPC  ;F;;G3S LONDRINA
V;2026-01-09 16:25:10;ALESSANDRA.ADM;6222.0;81417;2;6210;4729;31110;0.2;1.06;32976.6;SFPC  ;F;;G3S MARINGA
V;2026-01-09 16:25:11;ALESSANDRA.ADM;3083.0;81422;2;6210;4730;15415;0.2;1.06;16339.85;SFPC  ;F;;G3S MARINGA
V;2026-01-09 16:26:17;ALESSANDRA.ADM;7082.0;81436;2;6211;4731;35410;0.2;1.06;37534.6;SFPC  ;F;;G3S LONDRINA
V;2026-01-09 16:26:17;ALESSANDRA.ADM;6030.0;81445;2;6211;4732;30150;0.2;1.06;31959.0;SFPC  ;F;;G3S LONDRINA
V;2026-01-09 16:36:16;ALESSANDRA.ADM;1052.1;81489;2;6212;4733;35070;0.03;1.16;40681.2;SFA   ;S;;G3S PRUDENTE
V;2026-01-09 16:47:08;ALESSANDRA.ADM;2326.0;81569;2;6213;4734;11630;0.2;1.06;12327.8;SFPC  ;F;;G3S MARINGA
V;2026-01-09 16:47:08;ALESSANDRA.ADM;700.0;81569;3;6213;4735;3500;0.2;0.93;3255.0;SFC   ;S;;G3S MARINGA
V;2026-01-09 16:49:33;ALESSANDRA.ADM;2174.0;81582;2;6214;4736;21740;0.1;1.06;23044.4;SFPC  ;F;;G3S PRUDENTE
V;2026-01-09 17:56:27;ALESSANDRA.ADM;2800.0;81701;2;6215;4737;10000;0.28;0.78;7800.0;SFPC  ;F;;G3S PRUDENTE
V;2026-01-09 17:57:51;ALESSANDRA.ADM;2288.67;82144;2;6216;4738;32700;0.07;1.06;34662.0;SFPC  ;F;;G3S LONDRINA
V;2026-01-09 17:57:51;ALESSANDRA.ADM;2045.11;82165;2;6216;4739;29220;0.07;1.06;30973.2;SFPC  ;F;;G3S LONDRINA
V;2026-01-09 18:00:25;ALESSANDRA.ADM;2011.51;82178;2;6217;4740;28740;0.07;1.06;30464.4;SFPC  ;F;;G3S LONDRINA
V;2026-01-09 18:00:25;ALESSANDRA.ADM;674.35;82226;2;6217;4741;9635;0.07;1.06;10213.1;SFPC  ;F;;G3S MARINGA
V;2026-01-09 18:00:25;ALESSANDRA.ADM;37.44;82227;2;6217;4742;535;0.07;0.92826;496.62;SFC   ;S;;G3S MARINGA
V;2026-01-09 18:00:25;ALESSANDRA.ADM;1049.85;82227;3;6217;4743;15000;0.07;1.06;15900.0;SFPC  ;F;;G3S MARINGA
V;2026-01-09 18:02:24;ALESSANDRA.ADM;898.2;82306;2;6218;4744;29940;0.03;1.16;34730.4;SFMIU ;S;;G3S MARINGA
V;2026-01-09 18:04:27;ALESSANDRA.ADM;449.41;82354;2;6219;4745;6914;0.07;0.93;6430.02;SFC   ;S;;G3S MARINGA
V;2026-01-09 18:04:28;ALESSANDRA.ADM;1704.04;82354;3;6219;4746;26216;0.07;1.06;27788.96;SFPC  ;F;;G3S MARINGA
V;2026-01-09 18:09:52;ALESSANDRA.ADM;2707.0;84546;2;6220;4747;27070;0.1;1.23;33296.1;SFPC  ;F;;G3S MARINGA
V;2026-01-09 18:09:52;ALESSANDRA.ADM;2872.0;84547;2;6220;4748;28720;0.1;1.23;35325.6;SFPC  ;F;;G3S MARINGA
V;2026-01-09 18:09:52;ALESSANDRA.ADM;3211.0;84549;2;6220;4749;32110;0.1;1.23;39495.3;SFPC  ;F;;G3S PRUDENTE
V;2026-01-09 18:09:52;ALESSANDRA.ADM;3306.0;84554;2;6220;4750;33060;0.1;1.23;40663.8;SFPC  ;F;;G3S MARINGA
V;2026-01-09 18:09:52;ALESSANDRA.ADM;2925.0;84563;2;6220;4751;29250;0.1;1.23;35977.5;SFPC  ;F;;G3S MARINGA
V;2026-01-09 18:09:52;ALESSANDRA.ADM;3175.0;84603;2;6220;4752;31750;0.1;1.23;39052.5;SFPC  ;F;;G3S MARINGA
V;2026-01-09 18:09:53;ALESSANDRA.ADM;3269.0;84654;2;6220;4753;32690;0.1;1.23;40208.7;SFPC  ;F;;G3S MARINGA
V;2026-01-09 18:09:53;ALESSANDRA.ADM;3868.0;84655;2;6220;4754;38680;0.1;1.23;47576.4;SFPC  ;F;;G3S MARINGA
V;2026-01-09 18:15:10;ALESSANDRA.ADM;2384.23;84906;2;6221;4755;29140;0.08;1.95944;57097.96;SFOXC ;S;;G3S PRUDENTE
V;2026-01-09 18:15:10;ALESSANDRA.ADM;2457.87;84913;2;6221;4756;30040;0.08;1.96768;59108.98;SFOXC ;S;;G3S PRUDENTE
V;2026-01-09 18:17:18;ALESSANDRA.ADM;1879.0;86337;2;6222;4757;37580;0.05;1.23;46223.4;SCF   ;S;;G3S MARINGA
V;2026-01-09 18:17:18;ALESSANDRA.ADM;1658.0;86354;2;6222;4758;33160;0.05;1.23;40786.8;SCF   ;S;;G3S PRUDENTE
V;2026-01-09 18:17:18;ALESSANDRA.ADM;1352.5;86364;2;6222;4759;27050;0.05;1.33;35976.5;SFMIU ;S;;G3S LONDRINA
V;2026-01-09 18:17:18;ALESSANDRA.ADM;1420.0;86378;2;6222;4760;28400;0.05;1.33;37772.0;SFMIU ;S;;G3S LONDRINA
V;2026-01-09 18:17:18;ALESSANDRA.ADM;1641.5;86384;2;6222;4761;32830;0.05;1.33;43663.9;SFMIU ;S;;G3S LONDRINA
