placa;marca;fonte;observacao;codcen_manual;descen_manual
BAL0004;PENDENTE_VALIDACAO;regra_balanca;BALANÇA RODOVIARIA - CONCRETO - 21 METROS;;
BAL0007;PENDENTE_VALIDACAO;regra_balanca;BALANÇA RODOVIARIA - METALICA - 21 METROS;;
BAL0006;PENDENTE_VALIDACAO;regra_balanca;BALANÇA RODOVIARIA - METALICA - 21 METROS;;
BAL0003;PENDENTE_VALIDACAO;regra_balanca;BALANÇA RODOVIARIA - METALICA - 21 METROS;1.2.3.6.4;DESPESA / SELETIVA / LONDRINA / MAQUINAS E EQUIPAMENTOS / BAL0003
BAL0001;PENDENTE_VALIDACAO;regra_balanca;BALANÇA RODOVIARIA - METALICA - 21 METROS;;
EHH0019;HYUNDAI;regra_ehh_sem_fabricante;ESCAVADEIRA / GARRA;;
EHH0006;HYUNDAI;regra_ehh_sem_fabricante;ESCAVADEIRA / GARRA CHB;;
EHH0008;HYUNDAI;regra_ehh_sem_fabricante;ESCAVADEIRA / GARRA CHB / ELETROIMA ZOLOAR;;
EHH0009;NEW HOLLAND;regra_ehh_sem_fabricante;ESCAVADEIRA / GARRA DINAMAC;;
EHH0007;NEW HOLLAND;regra_ehh_sem_fabricante;ESCAVADEIRA / GARRA DINAMAC;;
EHH0004;HYUNDAI;regra_ehh_sem_fabricante;ESCAVADEIRA / GARRA DINAMAC / ELETROIMA ZOLOAR;;
EHH0005;PENDENTE_VALIDACAO;regra_ehh_sem_fabricante;ESCAVADEIRA / GARRA DINAMAC / ELETROIMA ZOLOAR;;
EHL0013;LIEBHERR;regra_automatica;ESCAVADEIRA / GARRA LIEBHERR;;
EHL0014;LIEBHERR;regra_automatica;ESCAVADEIRA / GARRA LIEBHERR;;
EHL0043;LIEBHERR;regra_automatica;ESCAVADEIRA / GARRA LIEBHERR;;
EHL0041;LIEBHERR;regra_automatica;ESCAVADEIRA / GARRA LIEBHERR;;
EHL0028;LIEBHERR;regra_automatica;ESCAVADEIRA / GARRA LIEBHERR;;
EHH0038;LIEBHERR;regra_automatica;ESCAVADEIRA / GARRA LIEBHERR / ELETROIMA ZOLOAR;;
EHH0036;LIEBHERR;regra_automatica;ESCAVADEIRA / GARRA LIEBHERR / ELETROIMA ZOLOAR;;
EHH0040;LIEBHERR;regra_automatica;ESCAVADEIRA / GARRA LIEBHERR / ELETROIMA ZOLOAR;;
EHH0039;LIEBHERR;regra_automatica;ESCAVADEIRA / GARRA LIEBHERR / ELETROIMA ZOLOAR;;
EHH0037;LIEBHERR;regra_automatica;ESCAVADEIRA / GARRA LIEBHERR / ELETROIMA ZOLOAR;;
EHH0002;PENDENTE_VALIDACAO;regra_ehh_sem_fabricante;ESCAVADEIRA / PENEIRA ITALIANA MB S16;;
EHH0046;PENDENTE_VALIDACAO;regra_ehh_sem_fabricante;ESCAVADEIRA / PENEIRA MB S18;;
EHH0015;PENDENTE_VALIDACAO;regra_ehh_sem_fabricante;ESCAVADEIRA / PENEIRA MB S18;;
EHH0044;PENDENTE_VALIDACAO;regra_ehh_sem_fabricante;ESCAVADEIRA / TESOURA ARDEN;;
EHH0003;PENDENTE_VALIDACAO;regra_ehh_sem_fabricante;ESCAVADEIRA / TESOURA VTN;;
EHL0070;LIEBHERR;regra_automatica;ESCAVADEIRA LIEBHERR LH30M COM 1 GARRA - MAIS 2 GARRAS ADICIONAIS;1.2.5.7.7;DESPESA / SELETIVA / PRESIDENTE PRUDENTE / MAQUINAS E EQUIPAMENTOS / EHL0070
EHL0042;LIEBHERR;regra_automatica;MANIPULADOR / GARRA LIEBHERR;;
PHJ0054;PENDENTE_VALIDACAO;regra_prensa_sem_modelo;PRENSA 30X30;;
PHH0031;PENDENTE_VALIDACAO;regra_prensa_sem_modelo;PRENSA 40X40;;
PHT0025;PENDENTE_VALIDACAO;regra_prensa_sem_modelo;PRENSA 60X60;;
PHH0061;JCG;regra_automatica;PRENSA FIXA JCG800;;
PHH0045;HIDROEUROPA;CC_Maquinas_2026;PRENSA FIXA JCG800 (marca no CC);;
SWQ2C15 / PHH0049;HIDROEUROPA;CC_Maquinas_2026;PRENSA MÓVEL JCH200M (modelo, não fabricante);;
GBL8H44;HIDROEUROPA;CC_Maquinas_2026;PRENSA MÓVEL JCH200M;;
QXH2G14;HIDROEUROPA;CC_Maquinas_2026;PRENSA MÓVEL JCH200M;;
GDU0275;HIDROEUROPA;CC_Maquinas_2026;PRENSA MÓVEL JCH200M;;
PHH0062;HIDROEUROPA;CC_Maquinas_2026;PRENSA MÓVEL JCH200M;;
PHT0018/PHH0018;JCG;regra_automatica;PRENSA SEMIFIXA JCG600;;
BHM0047;PENDENTE_VALIDACAO;regra_tilter;TILTER;;
