De;;;Para;
Codigo;Descricao;Tipo;Codigo;Descricao
1;DESPESA;SINTETICO;;
1.1;G3S ESCRITORIO;SINTETICO;;
1.1.1;DIRETORIA;SINTETICO;;
1.1.1.1;ACIONISTAS;ANALITICO;;
1.1.2;ADMINISTRATIVO;ANALITICO;;
1.1.3;FINANCEIRO;ANALITICO;;
1.1.4;CONTABILIDADE/FISCAL;ANALITICO;;
1.1.5;QUALIDADE;ANALITICO;;
1.1.6;JURIDICO;ANALITICO;;
1.1.7;LOGISTICA;ANALITICO;;
1.1.8;AMBIENTAL;ANALITICO;;
1.1.9;RECURSOS HUMANOS;ANALITICO;;
1.1.10;PESSOAS;ANALITICO;;
1.1.11;SEGURANCA DO TRABALHO;ANALITICO;;
1.1.12;MARKETING;ANALITICO;;
1.1.13;TIC;ANALITICO;;
1.1.14;SUPRIMENTOS;ANALITICO;;
1.1.15;MANUTENCAO MAQUINAS E VEICULOS;ANALITICO;;
1.2;SELETIVA;SINTETICO;;
1.2.1;CORPORATIVO SUCATA;SINTETICO;;
1.2.1.1;APOIO;ANALITICO;;
1.2.1.2;COORDENACAO MS;ANALITICO;;
1.2.1.3;COORDENACAO PR;ANALITICO;;
1.2.1.4;COORDENACAO SP;ANALITICO;;
1.2.1.5;COMERCIAL COMPRA SUCATA;ANALITICO;;
1.2.1.6;COMERCIAL VENDA SUCATA;ANALITICO;;
1.2.1.8;PRENSA MOVEL;SINTETICO;;PRENSA MOVEL
1.2.1.8.1;GDU0275 (PHH0022);ANALITICO;;GDU0275 (PHH0022)
1.2.1.8.2;QXH2G14 (PHH0061);ANALITICO;;QXH2G14 (PHH0061)
1.2.1.8.3;PHH0062;ANALITICO;;
1.2.1.9;VEICULOS;SINTETICO;;VEICULOS
1.2.1.9.1;FBV4H62;ANALITICO;;FBV4H62
1.2.1.9.2;GDY0H74;ANALITICO;;GDY0H74
1.2.1.9.3;GDB3A42;ANALITICO;;GDB3A42
1.2.1.10;SUC7A43;ANALITICO;;SUC7A43
1.2.1.11;CAIXAS;ANALITICO;;
1.2.1.12;PROJETO LICENÇA CETESB;ANALITICO;;
1.2.2;DOURADOS;SINTETICO;;
1.2.2.1;ADMINISTRATIVO;ANALITICO;;
1.2.2.2;COMERCIAL;ANALITICO;;
1.2.2.3;OPERACIONAL;ANALITICO;;
1.2.2.4;LOGISTICA;ANALITICO;;
1.2.2.5;VEICULOS;SINTETICO;;VEICULOS
1.2.2.5.1;BKW9I57;ANALITICO;;BKW9I57
1.2.2.5.2;BTZ8D36;ANALITICO;;BTZ8D36
1.2.2.5.5;FJU8F67 (JULIETA);ANALITICO;;FJU8F67 (JULIETA)
1.2.2.5.6;FUF1E28 (JULIETA);ANALITICO;;FUF1E28 (JULIETA)
1.2.2.5.7;FZF3J28 (JULIETA);ANALITICO;;FZF3J28 (JULIETA)
1.2.2.5.8;QAU6E20 (JULIETA);ANALITICO;;QAU6E20 (JULIETA)
1.2.2.5.9;TKI2E74;ANALITICO;;TKI2E74
1.2.2.6;MAQUINAS E EQUIPAMENTOS;SINTETICO;;MAQUINAS E EQUIPAMENTOS
1.2.2.6.1;EHH0036;ANALITICO;;EHH0036
1.2.2.6.2;EHH0003;ANALITICO;;EHH0003
1.2.2.6.3;EHL0042;ANALITICO;;EHL0042
1.2.2.6.4;PHT0018;ANALITICO;;PHT0018
1.2.2.6.5;BAL0006 (BALANÇA);ANALITICO;;
1.2.3;LONDRINA;SINTETICO;;
1.2.3.1;ADMINISTRATIVO;ANALITICO;;
1.2.3.2;COMERCIAL;ANALITICO;;
1.2.3.3;OPERACIONAL;ANALITICO;;
1.2.3.4;LOGISTICA;ANALITICO;;
1.2.3.5;VEICULOS;SINTETICO;;VEICULOS
1.2.3.5.3;FTP7D76;ANALITICO;;FTP7D76
1.2.3.5.4;DHW9801 (AGREGADO);ANALITICO;;
1.2.3.5.5;STF9C60;ANALITICO;;STF9C60
1.2.3.5.6;GDA9J63;ANALITICO;;GDA9J63
1.2.3.5.7;BZL7H95;ANALITICO;;BZL7H95
1.2.3.6;MAQUINAS E EQUIPAMENTOS;SINTETICO;;MAQUINAS E EQUIPAMENTOS
1.2.3.6.1;EHH0040;ANALITICO;;EHH0040
1.2.3.6.2;EHH0008;ANALITICO;;EHH0008
1.2.3.6.3;EHH0002;ANALITICO;;EHH0002
1.2.4;MARINGA DISTRITO;SINTETICO;;
1.2.4.1;ADMINISTRATIVO;ANALITICO;;
1.2.4.2;COMERCIAL;ANALITICO;;
1.2.4.3;OPERACIONAL;ANALITICO;;
1.2.4.4;LOGISTICA;ANALITICO;;
1.2.4.5;PATIO GXS;ANALITICO;;
1.2.4.6;PRENSA FIXA JCG800;ANALITICO;;
1.2.4.7;VEICULOS;SINTETICO;;VEICULOS
1.2.4.7.1;EWU5J98;ANALITICO;;EWU5J98
1.2.4.7.3;OON3B85;ANALITICO;;OON3B85
1.2.4.7.4;EWU6087;ANALITICO;;EWU6087
1.2.4.7.5;EWU6A85;ANALITICO;;EWU6A85
1.2.4.7.6;EWU6154 (JULIETA);ANALITICO;;EWU6154 (JULIETA)
1.2.4.7.7;EWU6204 (JULIETA);ANALITICO;;EWU6204 (JULIETA)
1.2.4.7.8;EWU6343 (JULIETA);ANALITICO;;EWU6343 (JULIETA)
1.2.4.7.9;FJQ5A08;ANALITICO;;FJQ5A08
1.2.4.7.10;RNC9H69;ANALITICO;;RNC9H69
1.2.4.7.11;GPZ5548 (AGREGADO);ANALITICO;;GPZ5548 (AGREGADO)
1.2.4.7.12;FRT7548;ANALITICO;;FRT7548
1.2.4.7.13;BZL7H95;ANALITICO;;BZL7H95
1.2.4.7.14;FBU7329;ANALITICO;;FBU7329
1.2.4.8;MAQUINAS E EQUIPAMENTOS;SINTETICO;;MAQUINAS E EQUIPAMENTOS
1.2.4.8.1;EHH0039;ANALITICO;;EHH0039
1.2.4.8.3;EHH0004;ANALITICO;;EHH0004
1.2.4.8.4;EHL0043;ANALITICO;;EHL0043
1.2.4.8.5;BHM0047;ANALITICO;;BHM0047
1.2.4.8.6;PHH0061 (JCG800);ANALITICO;;PHH0061 (JCG800)
1.2.4.8.7;EHL0014;ANALITICO;;EHL0014
1.2.5;PRESIDENTE PRUDENTE;SINTETICO;;
1.2.5.1;ADMINISTRATIVO;ANALITICO;;
1.2.5.2;COMERCIAL;ANALITICO;;
1.2.5.3;OPERACIONAL;ANALITICO;;
1.2.5.4;LOGISTICA;ANALITICO;;
1.2.5.5;PRENSA FIXA JCG800;ANALITICO;;
1.2.5.6;VEICULOS;SINTETICO;;VEICULOS
1.2.5.6.1;EWU6003;ANALITICO;;EWU6003
1.2.5.6.2;BZG6A91;ANALITICO;;BZG6A91
1.2.5.6.4;GGE5059;ANALITICO;;GGE5059
1.2.5.6.5;TRANSFERIDO;ANALITICO;;TRANSFERIDO
1.2.5.6.6;EWU6A86;ANALITICO;;EWU6A86
1.2.5.6.7;FUP3G76;ANALITICO;;FUP3G76
1.2.5.6.8;FVQ3B78;ANALITICO;;FVQ3B78
1.2.5.6.9;EWU6B52;ANALITICO;;EWU6B52
1.2.5.6.10;EJZ7G08 (AGREGADO);ANALITICO;;EJZ7G08 (AGREGADO)
1.2.5.6.11;SUE1E15;ANALITICO;;SUE1E15
1.2.5.6.12;SUY4F83 (VOLVO);ANALITICO;;SUY4F83 (VOLVO)
1.2.5.6.13;GHI3A74;ANALITICO;;GHI3A74
1.2.5.6.14;EWU6A85;ANALITICO;;EWU6A85
1.2.5.6.15;NRQ7727;ANALITICO;;NRQ7727
1.2.5.6.16;EJZ7998;ANALITICO;;EJZ7998
1.2.5.6.18;EJZ7J97;ANALITICO;;EJZ7J97
1.2.5.6.19;EJZ7999;ANALITICO;;EJZ7999
1.2.5.7;MAQUINAS E EQUIPAMENTOS;SINTETICO;;MAQUINAS E EQUIPAMENTOS
1.2.5.7.2;EHH0006;ANALITICO;;EHH0006
1.2.5.7.4;PHJ0054;ANALITICO;;PHJ0054
1.2.5.7.5;PHH0031;ANALITICO;;PHH0031
1.2.5.7.6;PHH0045;ANALITICO;;PHH0045
1.2.5.7.7;EHL0028;ANALITICO;;EHL0028
1.2.5.7.8;EHH0009;ANALITICO;;EHH0009
1.2.5.7.9;CHF0016;ANALITICO;;CHF0016
1.2.5.7.10;EHH0007;ANALITICO;;EHH0007
1.2.5.7.11;EWU6143;ANALITICO;;EWU6143
