linha_csv;id;n2_centro_custo;n3_centro_custo;n4_centro_custo;tipo_sugerido;confianca;motivo;observacao_resumo
2;004645;PRESIDENTE PRUDENTE;ADMINISTRATIVO;ADMINISTRATIVO;CAMINHOES;baixa;sem indício forte (fallback);PEDIDO(S) ASSOCIADO(S): [0030005036] Cristina - Referente a manutenção realizada dia 08/12 na ponte rolante serralheria. NF 58 - PAGAMENTO PIX : NU PAGAMENTOS 0260/ AGENCIA0001/ CO
3;005581;PRESIDENTE PRUDENTE;ADMINISTRATIVO;ADMINISTRATIVO;CAÇAMBAS;alta;caixas/caçamba no centro de custo ou observação;PEDIDO(S) ASSOCIADO(S): [0030005112] Cristina - Referente a SERVIÇOS PRESTADOS: TROCA DE UMA LUMINÁRIA NO CAIXA MUDANÇA PONTOS DE REDE CENTRAL DE ALARME PIX: CPF 279.398.008-09 CES
4;005477;PRESIDENTE PRUDENTE;ADMINISTRATIVO;ADMINISTRATIVO;CAMINHOES;baixa;sem indício forte (fallback);PEDIDO(S) ASSOCIADO(S): [0030005126] Cristina - Referente a socorro prestado na ponte rolante do pátio Braçofer nf 190 boleto 25/02
8;002765;MARINGA DISTRITO;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CRISTINA - S/N ANTECIPAÇÃO DE PAGAMENETO NO VALOR DE R$1.000,00 VENC. 16/01/26 VIA ALELO - REF. AO PREPARO DO TERRENO E CONCRETAGEM  (PONTOS DE ALAGAMENTO EM TORNO DA BALANÇA), TU
9;002813;MARINGA DISTRITO;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CRISTINA - S/N ANTECIPAÇÃO DE PAGAMENETO NO VALOR DE R$1.000,00 VENC. 16/01/26 VIA ALELO - REF. AO PREPARO DO TERRENO E CONCRETAGEM  (PONTOS DE ALAGAMENTO EM TORNO DA BALANÇA), TU
10;002962;MARINGA DISTRITO;OPERACIONAL;OPERACIONAL;MAQUINAS;media;tipo predominante no mesmo n4; CRISTINA - S/N ANTECIPAÇÃO DE PAGAMENETO NO VALOR DE R$1.000,00 VENC. 16/01/26 VIA ALELO - REF. AO PREPARO DO TERRENO E CONCRETAGEM  (PONTOS DE ALAGAMENTO EM TORNO DA BALANÇA), TU
12;004869;PRESIDENTE PRUDENTE;PROJETOS;ESCRITORIO NOVO;CAMINHOES;baixa;sem indício forte (fallback);REFERENTE A NF 000439109
13;004896;PRESIDENTE PRUDENTE;PROJETOS;ESCRITORIO NOVO;CAMINHOES;baixa;sem indício forte (fallback);REFERENTE A NF 000439192
14;004981;PRESIDENTE PRUDENTE;PROJETOS;ESCRITORIO NOVO;CAMINHOES;baixa;sem indício forte (fallback);REFERENTE A NF 000439493
15;004644;PRESIDENTE PRUDENTE;PROJETOS;ESCRITORIO NOVO;CAMINHOES;baixa;sem indício forte (fallback);REFERENTE A NF 000058949
16;005737;PRESIDENTE PRUDENTE;ADMINISTRATIVO;ADMINISTRATIVO;CAMINHOES;baixa;sem indício forte (fallback);PEDIDO(S) ASSOCIADO(S): [0030005161] Cristina - Referente a troca de óleo das pontes rolantes do pátio Braçofer NF 63739 BOLETO
