RELATÓRIO DE ENTRADA;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;
;;;R.SOCIAL.: G3S COMERCIO E INDUSTRIA DE FERRO E ACO LTDA -  CNPJ.: 20947332/0004-38 END.: RUA HELENA FERRANTE BORGHI, 100 - DISTRITO INDUSTRIAL CIDADE.: PRESIDENTEPRUDENTE - SP TELEFONE: 1821010101 IE: 562407492115 / WWW.SELETIVA.IND.BR DATA. : 11/05/2026 HORA.: 08:18:41-IMPRESSO POR:JULIO.SANTANA;;;;;;;;;;;;;;;;;;;
;;

Período de 01/05/2026 a 11/05/2026;;;;;;;;;;;;;;;;;;;;;;;;
Filial:MATRIZ,FILIAL1,FILIAL2,FILIAL3,FILIAL4,FILIAL5,FILIAL6,FILIAL9,FILIAL10,FILIAL11,FILIAL12,FILIAL13,FILIAL14,FILIAL15,FILIAL16,FILIAL17,FILIAL18,FILIAL19,FILIAL20;;;;;;;;;;;;;;;;;;;;;;;;

Tipo/Categoria :;;;FERRO                                                                                               ;;;;;;;;;;;;;;;;;;;

;;Quantidade;;;;;;P. Médio;;;;Valor Total;;;;;

;1.741.587,000  ;;;;;;0,86410   ;;;;1.504.905,95   ;;;;;;

Totais;;1.741.587,000  ;;;;;;;;;;1.504.905,95   ;;;;;;

Total menos ICMS: 1.503.334,83   ;;;;;;;;;;;;

Total ICMS: 1.571,12   ;;;;;;;;;;;;

Total PIS: 0,00   ;;;;;;;;;;;;

Total COFINS: 0,00   ;;;;;;;;;;;;

Total menos PIS: 1.504.905,95   ;;;;;;;;;;;;

Total menos COFINS: 1.504.905,95   ;;;;;;;;;;;;

Total Liquido: 1.503.334,83   ;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;

Tipo/Categoria :;;;MATERIAL DE ESCOLHA                                                                                 ;;;;;;;;;;;;;;;;;;;

;;Quantidade;;;;;;P. Médio;;;;Valor Total;;;;;

;86,400   ;;;;;;1,39063   ;;;;120,15   ;;;;;;

Totais;;86,400   ;;;;;;;;;;120,15   ;;;;;;

Total menos ICMS: 120,15   ;;;;;;;;;;;;

Total ICMS: 0,00   ;;;;;;;;;;;;

Total PIS: 0,00   ;;;;;;;;;;;;

Total COFINS: 0,00   ;;;;;;;;;;;;

Total menos PIS: 120,15   ;;;;;;;;;;;;

Total menos COFINS: 120,15   ;;;;;;;;;;;;

Total Liquido: 120,15   ;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;

Tipo/Categoria :;;;PLASTICO E PAPEL                                                                                    ;;;;;;;;;;;;;;;;;;;

;;Quantidade;;;;;;P. Médio;;;;Valor Total;;;;;

;7.290,000   ;;;;;;0,01000   ;;;;72,90   ;;;;;;

Totais;;7.290,000   ;;;;;;;;;;72,90   ;;;;;;

Total menos ICMS: 72,90   ;;;;;;;;;;;;

Total ICMS: 0,00   ;;;;;;;;;;;;

Total PIS: 0,00   ;;;;;;;;;;;;

Total COFINS: 0,00   ;;;;;;;;;;;;

Total menos PIS: 72,90   ;;;;;;;;;;;;

Total menos COFINS: 72,90   ;;;;;;;;;;;;

Total Liquido: 72,90   ;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;

Tipo/Categoria :;;;MATERIAL FINO                                                                                       ;;;;;;;;;;;;;;;;;;;

;;Quantidade;;;;;;P. Médio;;;;Valor Total;;;;;

;40,000   ;;;;;;1,30000   ;;;;52,00   ;;;;;;

www.sygecom.com.br - relatorios\sagi_rel_entsai_cat_for_prod15.fr3;;;;;;;;;;;
Totais;;40,000   ;;;;;;;;;;52,00   ;;;;;;

Total menos ICMS: 52,00   ;;;;;;;;;;

Total ICMS: 0,00   ;;;;;;;;;;

Total PIS: 0,00   ;;;;;;;;;;

Total COFINS: 0,00   ;;;;;;;;;;

Total menos PIS: 52,00   ;;;;;;;;;;

Total menos COFINS: 52,00   ;;;;;;;;;;

Total Liquido: 52,00   ;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;

Tipo/Categoria :;ELETRONICO                                                                                          ;;;;;;;;;;;;;;;;;;;;

;;Quantidade;;;;;;P. Médio;;;;;Valor Total;;;;

;120,000   ;;;;;;0,75000   ;;;;90,00   ;;;;;;

Totais;;120,000   ;;;;;;;;;;90,00   ;;;;;;

Total menos ICMS: 90,00   ;;;;;;;;;;

Total ICMS: 0,00   ;;;;;;;;;;

Total PIS: 0,00   ;;;;;;;;;;

Total COFINS: 0,00   ;;;;;;;;;;

Total menos PIS: 90,00   ;;;;;;;;;;

Total menos COFINS: 90,00   ;;;;;;;;;;

Total Liquido: 90,00   ;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;

TOTAL GERAL:;;1.749.123,400  ;;;;0,86057   ;;1.505.241,00   ;;;;;

Total menos ICMS: 1.503.669,88   ;;;;;;;;;;;;;;
Total ICMS: 1.571,12   ;;;;;;;;;;;;;;
Total PIS: 50,82   ;;;;;;;;;;;;;;
Total COFINS: 234,08   ;;;;;;;;;;;;;;
Total menos PIS: 1.505.190,18   ;;;;;;;;;;;;;;
Total menos COFINS: 1.505.006,92   ;;;;;;;;;;;;;;
Total Liquido: 1.503.384,98   ;;;;;;;;;;;;;;
