RELATÓRIO DE SAIDA;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;
;;;R.SOCIAL.: G3S COMERCIO E INDUSTRIA DE FERRO E ACO LTDA -  CNPJ.: 20947332/0004-38 END.: RUA HELENA FERRANTE BORGHI, 100 - DISTRITO INDUSTRIAL CIDADE.: PRESIDENTEPRUDENTE - SP TELEFONE: 1821010101 IE: 562407492115 / WWW.SELETIVA.IND.BR DATA. : 11/05/2026 HORA.: 08:44:13-IMPRESSO POR:JULIO.SANTANA;;;;;;;;;;;;;;;;;;;
;;

Período de 01/05/2026 a 11/05/2026;;;;;;;;;;;;;;;;;;;;;;;;
Filial:MATRIZ,FILIAL1,FILIAL2,FILIAL3,FILIAL4,FILIAL5,FILIAL6,FILIAL9,FILIAL10,FILIAL11,FILIAL12,FILIAL13,FILIAL14,FILIAL15,FILIAL16,FILIAL17,FILIAL18,FILIAL19,FILIAL20;;;;;;;;;;;;;;;;;;;;;;;;

Tipo/Categoria :;;;FERRO                                                                                               ;;;;;;;;;;;;;;;;;;;

;;Quantidade;;;;;;P. Médio;;;;Valor Total;;;;;

;2.387.050,000  ;;;;;;1,66731   ;;;;3.979.942,01   ;;;;;;

Totais;;2.387.050,000  ;;;;;;;;;;3.979.942,01   ;;;;;;

Total menos ICMS: 3.970.810,11   ;;;;;;;;;;;;

Total ICMS: 9.131,90   ;;;;;;;;;;;;

Total PIS: 0,00   ;;;;;;;;;;;;

Total COFINS: 0,00   ;;;;;;;;;;;;

Total menos PIS: 3.979.942,01   ;;;;;;;;;;;;

Total menos COFINS: 3.979.942,01   ;;;;;;;;;;;;

Total Liquido: 3.970.810,11   ;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;

Tipo/Categoria :;;;MATERIAL DE ESCOLHA                                                                                 ;;;;;;;;;;;;;;;;;;;

;;Quantidade;;;;;;P. Médio;;;;Valor Total;;;;;

;5.839,400   ;;;;;;3,41639   ;;;;19.949,65   ;;;;;;

Totais;;5.839,400   ;;;;;;;;;;19.949,65   ;;;;;;

Total menos ICMS: 18.924,12   ;;;;;;;;;;;;

Total ICMS: 1.025,53   ;;;;;;;;;;;;

Total PIS: 82,61   ;;;;;;;;;;;;

Total COFINS: 380,53   ;;;;;;;;;;;;

Total menos PIS: 19.867,04   ;;;;;;;;;;;;

Total menos COFINS: 19.569,12   ;;;;;;;;;;;;

Total Liquido: 18.460,98   ;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;

Tipo/Categoria :;;;DIVERSOS                                                                                            ;;;;;;;;;;;;;;;;;;;

;;Quantidade;;;;;;P. Médio;;;;Valor Total;;;;;

;16,400   ;;;;;;3,00000   ;;;;49,20   ;;;;;;

Totais;;16,400   ;;;;;;;;;;49,20   ;;;;;;

Total menos ICMS: 41,13   ;;;;;;;;;;;;

Total ICMS: 8,07   ;;;;;;;;;;;;

Total PIS: 0,55   ;;;;;;;;;;;;

Total COFINS: 2,53   ;;;;;;;;;;;;

Total menos PIS: 48,65   ;;;;;;;;;;;;

Total menos COFINS: 46,67   ;;;;;;;;;;;;

Total Liquido: 38,05   ;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;;

Tipo/Categoria :;;;PLASTICO E PAPEL                                                                                    ;;;;;;;;;;;;;;;;;;;

;;Quantidade;;;;;;P. Médio;;;;Valor Total;;;;;

;5.120,000   ;;;;;;0,22344   ;;;;1.144,00   ;;;;;;

www.sygecom.com.br - relatorios\sagi_rel_entsai_cat_for_prod15.fr3;;;;;;;;;;;
Totais;;5.120,000   ;;;;;;;;;;1.144,00   ;;;;;;

Total menos ICMS: 1.072,60   ;;;;;;;;;;

Total ICMS: 71,40   ;;;;;;;;;;

Total PIS: 5,75   ;;;;;;;;;;

Total COFINS: 26,49   ;;;;;;;;;;

Total menos PIS: 1.138,25   ;;;;;;;;;;

Total menos COFINS: 1.117,51   ;;;;;;;;;;

Total Liquido: 1.040,36   ;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;

Tipo/Categoria :;MATERIAL PROCESSADO                                                                                 ;;;;;;;;;;;;;;;;;;;;

;;Quantidade;;;;;;P. Médio;;;;;Valor Total;;;;

;46.370,000   ;;;;;;1,35000   ;;;;62.599,50   ;;;;;;

Totais;;46.370,000   ;;;;;;;;;;62.599,50   ;;;;;;

Total menos ICMS: 62.599,50   ;;;;;;;;;;

Total ICMS: 0,00   ;;;;;;;;;;

Total PIS: 0,00   ;;;;;;;;;;

Total COFINS: 0,00   ;;;;;;;;;;

Total menos PIS: 62.599,50   ;;;;;;;;;;

Total menos COFINS: 62.599,50   ;;;;;;;;;;

Total Liquido: 62.599,50   ;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;;

TOTAL GERAL:;;2.444.395,800  ;;;;1,66245   ;;4.063.684,36   ;;;;;

Total menos ICMS: 3.903.079,48   ;;;;;;;;;;;;;;
Total ICMS: 160.604,88   ;;;;;;;;;;;;;;
Total PIS: 233,48   ;;;;;;;;;;;;;;
Total COFINS: 1.075,53   ;;;;;;;;;;;;;;
Total menos PIS: 4.063.450,88   ;;;;;;;;;;;;;;
Total menos COFINS: 4.062.608,83   ;;;;;;;;;;;;;;
Total Liquido: 3.901.770,47   ;;;;;;;;;;;;;;
